Date,Profit/Loss,Change in Prof/Loss
Jan-2010,867884,0
Feb-2010,984655,116771.0
Mar-2010,322013,-662642.0
Apr-2010,-69417,-391430.0
May-2010,310503,379920.0
Jun-2010,522857,212354.0
Jul-2010,1033096,510239.0
Aug-2010,604885,-428211.0
Sep-2010,-216386,-821271.0
Oct-2010,477532,693918.0
Nov-2010,893810,416278.0
Dec-2010,-80353,-974163.0
Jan-2011,779806,860159.0
Feb-2011,-335203,-1115009.0
Mar-2011,697845,1033048.0
Apr-2011,793163,95318.0
May-2011,485070,-308093.0
Jun-2011,584122,99052.0
Jul-2011,62729,-521393.0
Aug-2011,668179,605450.0
Sep-2011,899906,231727.0
Oct-2011,834719,-65187.0
Nov-2011,132003,-702716.0
Dec-2011,309978,177975.0
Jan-2012,-755566,-1065544.0
Feb-2012,1170593,1926159.0
Mar-2012,252788,-917805.0
Apr-2012,1151518,898730.0
May-2012,817256,-334262.0
Jun-2012,570757,-246499.0
Jul-2012,506702,-64055.0
Aug-2012,-1022534,-1529236.0
Sep-2012,475062,1497596.0
Oct-2012,779976,304914.0
Nov-2012,144175,-635801.0
Dec-2012,542494,398319.0
Jan-2013,359333,-183161.0
Feb-2013,321469,-37864.0
Mar-2013,67780,-253689.0
Apr-2013,471435,403655.0
May-2013,565603,94168.0
Jun-2013,872480,306877.0
Jul-2013,789480,-83000.0
Aug-2013,999942,210462.0
Sep-2013,-1196225,-2196167.0
Oct-2013,268997,1465222.0
Nov-2013,-687986,-956983.0
Dec-2013,1150461,1838447.0
Jan-2014,682458,-468003.0
Feb-2014,617856,-64602.0
Mar-2014,824098,206242.0
Apr-2014,581943,-242155.0
May-2014,132864,-449079.0
Jun-2014,448062,315198.0
Jul-2014,689161,241099.0
Aug-2014,800701,111540.0
Sep-2014,1166643,365942.0
Oct-2014,947333,-219310.0
Nov-2014,578668,-368665.0
Dec-2014,988505,409837.0
Jan-2015,1139715,151210.0
Feb-2015,1029471,-110244.0
Mar-2015,687533,-341938.0
Apr-2015,-524626,-1212159.0
May-2015,158620,683246.0
Jun-2015,87795,-70825.0
Jul-2015,423389,335594.0
Aug-2015,840723,417334.0
Sep-2015,568529,-272194.0
Oct-2015,332067,-236462.0
Nov-2015,989499,657432.0
Dec-2015,778237,-211262.0
Jan-2016,650000,-128237.0
Feb-2016,-1100387,-1750387.0
Mar-2016,-174946,925441.0
Apr-2016,757143,932089.0
May-2016,445709,-311434.0
Jun-2016,712961,267252.0
Jul-2016,-1163797,-1876758.0
Aug-2016,569899,1733696.0
Sep-2016,768450,198551.0
Oct-2016,102685,-665765.0
Nov-2016,795914,693229.0
Dec-2016,60988,-734926.0
Jan-2017,138230,77242.0
Feb-2017,671099,532869.0
